site,dt,price
B,29/05/2016 21:45,502.7538884
B,29/05/2016 22:00,505.176439
B,29/05/2016 22:15,505.5677441
B,29/05/2016 22:30,506.0633814
B,29/05/2016 22:45,505.7312441
B,29/05/2016 23:00,505.9906441
B,29/05/2016 23:15,508.0139625
B,29/05/2016 23:30,506.8618401
B,29/05/2016 23:45,507.6716198
B,30/05/2016 00:00,508.4473468
B,30/05/2016 00:15,507.6440545
B,30/05/2016 00:30,509.5641338
B,30/05/2016 00:45,512.0028468
B,30/05/2016 01:00,514.1514049
B,30/05/2016 01:15,515.3211413
B,30/05/2016 01:30,513.5455395
B,30/05/2016 01:45,511.5523587
B,30/05/2016 02:00,512.9264097
B,30/05/2016 02:15,515.4574358
B,30/05/2016 02:30,517.1332525
B,30/05/2016 02:45,515.4057772
B,30/05/2016 03:00,516.9133467
B,30/05/2016 03:15,517.3368279
B,30/05/2016 03:30,518.2346286
B,30/05/2016 03:45,518.740015
B,30/05/2016 04:00,520.6778866
B,30/05/2016 04:15,522.2782287
B,30/05/2016 04:30,521.8396631
B,30/05/2016 04:45,521.1479839
B,30/05/2016 05:00,521.1492121
B,30/05/2016 05:15,520.0665007
B,30/05/2016 05:30,520.0902711
B,30/05/2016 05:45,520.5135621
B,30/05/2016 06:00,521.5791061
B,30/05/2016 06:15,524.2892006
B,30/05/2016 06:30,523.7919685
B,30/05/2016 06:45,525.3582219
B,30/05/2016 07:00,525.0232207
B,30/05/2016 07:15,523.919446
B,30/05/2016 07:30,523.4941097
B,30/05/2016 07:45,523.1485982
B,30/05/2016 08:00,522.2483711
B,30/05/2016 08:15,522.5615535
B,30/05/2016 08:30,521.7703828
B,30/05/2016 08:45,522.3600121
B,30/05/2016 09:00,522.4822397
B,30/05/2016 09:15,523.2910783
B,30/05/2016 09:30,522.8484414
B,30/05/2016 09:45,523.1098462
B,30/05/2016 10:00,521.4972786
B,30/05/2016 10:15,520.4855816
B,30/05/2016 10:30,519.4389551
B,30/05/2016 10:45,521.2496762
B,30/05/2016 11:00,519.204583
B,30/05/2016 11:15,520.5493567
B,30/05/2016 11:30,522.4667067
B,30/05/2016 11:45,523.6902042
B,30/05/2016 12:00,522.9920375
B,30/05/2016 12:15,522.7089751
B,30/05/2016 12:30,522.5198194
B,30/05/2016 12:45,523.5910113
B,30/05/2016 13:00,523.1362417
B,30/05/2016 13:15,522.9936435
B,30/05/2016 13:30,521.1950705
B,30/05/2016 13:45,519.4878704
B,30/05/2016 14:00,519.7009157
B,30/05/2016 14:15,518.5044303
B,30/05/2016 14:30,518.9684407
B,30/05/2016 14:45,517.8571811
B,30/05/2016 15:00,516.5611773
B,30/05/2016 15:15,513.8629471
B,30/05/2016 15:30,514.0437775
B,30/05/2016 15:45,513.7186994
B,30/05/2016 16:00,514.2145177
B,30/05/2016 16:15,515.3590705
B,30/05/2016 16:30,516.5523808
B,30/05/2016 16:45,517.9429559
B,30/05/2016 17:00,519.5993226
B,30/05/2016 17:15,521.5051446
B,30/05/2016 17:30,521.5728534
B,30/05/2016 17:45,521.1299462
B,30/05/2016 18:00,522.983731
B,30/05/2016 18:15,523.8866903
B,30/05/2016 18:30,524.0626644
B,30/05/2016 18:45,524.0767448
B,30/05/2016 19:00,525.2717991
B,30/05/2016 19:15,524.3429142
B,30/05/2016 19:30,526.1772519
B,30/05/2016 19:45,526.4310259
B,30/05/2016 20:00,526.7955392
B,30/05/2016 20:15,527.2098623
B,30/05/2016 20:30,526.6826928
B,30/05/2016 20:45,526.015932
B,30/05/2016 21:00,528.1082947
B,30/05/2016 21:15,528.6352877
B,30/05/2016 21:30,526.5618128
B,30/05/2016 21:45,526.4949231
B,30/05/2016 22:00,525.1826637
B,30/05/2016 22:15,525.6861552
B,30/05/2016 22:30,524.989612
B,30/05/2016 22:45,525.0257859
B,30/05/2016 23:00,525.3865229
B,30/05/2016 23:15,526.8242244
B,30/05/2016 23:30,528.6773829
B,30/05/2016 23:45,526.6220698
B,31/05/2016 00:00,526.9092846
B,31/05/2016 00:15,527.5886418
B,31/05/2016 00:30,527.075524
B,31/05/2016 00:45,526.2835911
B,31/05/2016 01:00,524.7501347
B,31/05/2016 01:15,521.9042405
B,31/05/2016 01:30,522.604842
B,31/05/2016 01:45,521.1474592
B,31/05/2016 02:00,521.6528138
B,31/05/2016 02:15,524.343111
B,31/05/2016 02:30,523.5930039
B,31/05/2016 02:45,525.9425653
B,31/05/2016 03:00,525.8769262
B,31/05/2016 03:15,525.194179
B,31/05/2016 03:30,524.1480068
B,31/05/2016 03:45,524.9946661
B,31/05/2016 04:00,526.9409895
B,31/05/2016 04:15,525.6614336
B,31/05/2016 04:30,525.7017076
B,31/05/2016 04:45,527.1852111
B,31/05/2016 05:00,527.4302438
