Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km169.5_Group,km169.5_Position,km169.5_Elapsed_time,km169.5_Gap_to_previous_group,km169.5_Average_speed,km169.5_Current_speed,km169.5_Gradient,km169.5_GC_prov_position,km169.5_GC_prov_delay,km169.5_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
J. ALAPHILIPPE,101,QST,Climbs,41,50h 28' 48'',1:04:05,03h 48' 03'',Main group,73,+0'00'',+0'00'',0 km/h,0 km/h,0%,41,1:04:05,50:28:48,Main group,73,+0'58'',+0'25'',50.36 km/h,39.74 km,-4%,40,1:04:05,50:51:43,Main group,61,+1'45'',+0'49'',55.19 km/h,44.39 km,-2%,40,1:04:05,51:05:34,Main group,104,+3'20'',+3'20'',48.71 km/h,51.73 km,-1%,40,1:04:05,51:18:49,Main group,108,+2'14'',+2'14'',52.11 km/h,87.59 km,-7%,40,1:04:05,51:31:19,Main group,109,+1'42'',+1'42'',41.26 km/h,49.07 km,-,40,1:04:05,51:43:37,Main group,102,+1'34'',+1'34'',41.37 km/h,38.99 km,-1%,40,1:04:05,51:55:54,Main group,140,+2'00'',+2'00'',37.63 km/h,40.79 km,-2%,40,1:04:05,52:08:46,Main group,132,+2'10'',+2'10'',44.50 km/h,44.60 km,-,40,1:04:05,52:22:38,Main group,117,+2'06'',+2'06'',38.95 km/h,35.06 km,3%,40,1:04:05,52:34:08,Main group,145,+1'30'',+1'30'',43.64 km/h,39.64 km,1%,40,1:04:05,52:46:47,Main group,86,+1'00'',+1'00'',29.14 km/h,25.60 km,5%,40,1:04:05,52:58:44,Main group,87,+0'51'',+0'51'',40.35 km/h,34.09 km,-2%,40,1:04:05,53:11:59,Main group,121,+0'57'',+0'57'',38.39 km/h,28.73 km,4%,40,1:04:05,53:24:22,Main group,127,+0'35'',+0'35'',41.39 km/h,38.63 km,-,40,1:04:05,53:37:05,Main group,74,+0'47'',+0'47'',39.35 km/h,61.06 km,-3%,40,1:04:05,53:49:37,Main group,86,+0'25'',+0'25'',59.34 km/h,56.27 km,-,40,1:04:05,53:55:06,Main group,147,+0'24'',+0'24'',54.45 km/h,56.45 km,-1%,40,1:04:05,54:01:51,Main group,139,+0'00'',+0'00'',49.15 km/h,52.81 km,-1%,40,1:04:05,54:08:06,Stragglers,148,+2'08'',-,-,-,-,40,1:06:13,54:16:51
T. DECLERCQ,102,QST,no,123,51h 21' 08'',1:56:25,03h 48' 03'',Main group,74,+0'00'',+0'00'',0 km/h,0 km/h,0%,123,1:56:25,51:21:08,Main group,19,+0'58'',+0'25'',48.78 km/h,40.54 km,-5%,121,1:56:25,51:44:03,Main group,91,+1'45'',+0'49'',55.14 km/h,43.99 km,-2%,121,1:56:25,51:57:54,Main group,106,+3'20'',+3'20'',49.51 km/h,50.98 km,-1%,121,1:56:25,52:11:09,Main group,93,+2'14'',+2'14'',52.26 km/h,87.52 km,-6%,121,1:56:25,52:23:39,Main group,37,+1'42'',+1'42'',42.20 km/h,45.72 km,-,121,1:56:25,52:35:57,Main group,55,+1'34'',+1'34'',41.23 km/h,39.67 km,-1%,121,1:56:25,52:48:14,Main group,77,+2'00'',+2'00'',39.56 km/h,44.28 km,-3%,121,1:56:25,53:01:06,Main group,73,+2'10'',+2'10'',44.53 km/h,43.99 km,-,121,1:56:25,53:14:58,Main group,87,+2'06'',+2'06'',38.28 km/h,36.83 km,3%,121,1:56:25,53:26:28,Main group,116,+1'30'',+1'30'',44.56 km/h,42.26 km,-,121,1:56:25,53:39:07,Main group,61,+1'00'',+1'00'',29.21 km/h,23.54 km,5%,121,1:56:25,53:51:04,Main group,106,+0'51'',+0'51'',40.43 km/h,32.15 km,-2%,121,1:56:25,54:04:19,Main group,91,+0'57'',+0'57'',38.86 km/h,29.20 km,4%,121,1:56:25,54:16:42,Main group,80,+0'35'',+0'35'',41.16 km/h,36.90 km,-,121,1:56:25,54:29:25,Main group,110,+0'47'',+0'47'',39.15 km/h,61.96 km,-3%,121,1:56:25,54:41:57,Main group,109,+0'25'',+0'25'',59.35 km/h,51.16 km,-,121,1:56:25,54:47:26,Main group,65,+0'24'',+0'24'',55.20 km/h,55.12 km,-1%,121,1:56:25,54:54:11,Main group,88,+0'00'',+0'00'',49.49 km/h,52.24 km,-1%,121,1:56:25,55:00:26,Stragglers,122,+2'08'',-,-,-,-,124,1:58:33,55:09:11
P. GILBERT,104,QST,no,50,50h 37' 29'',1:12:46,03h 45' 55'',Main group,75,+0'00'',+0'00'',0 km/h,0 km/h,0%,50,1:12:46,50:37:29,Main group,46,+0'58'',+0'25'',49.98 km/h,40.75 km,-5%,49,1:12:46,51:00:24,Main group,39,+1'45'',+0'49'',55.41 km/h,45.40 km,-3%,49,1:12:46,51:14:15,Main group,20,+3'20'',+3'20'',48.58 km/h,54.65 km,-1%,49,1:12:46,51:27:30,Main group,120,+2'14'',+2'14'',51.65 km/h,84.71 km,-7%,49,1:12:46,51:40:00,Main group,113,+1'42'',+1'42'',41.37 km/h,47.09 km,-,49,1:12:46,51:52:18,Main group,63,+1'34'',+1'34'',41.49 km/h,35.75 km,-1%,49,1:12:46,52:04:35,Main group,39,+2'00'',+2'00'',37.22 km/h,44.17 km,-3%,49,1:12:46,52:17:27,Main group,20,+2'10'',+2'10'',44.42 km/h,45.00 km,1%,49,1:12:46,52:31:19,Main group,42,+2'06'',+2'06'',37.94 km/h,39.13 km,3%,49,1:12:46,52:42:49,Main group,98,+1'30'',+1'30'',45.34 km/h,44.68 km,-,49,1:12:46,52:55:28,Main group,48,+1'00'',+1'00'',29.45 km/h,24.26 km,5%,49,1:12:46,53:07:25,Main group,43,+0'51'',+0'51'',40.33 km/h,36.07 km,-2%,49,1:12:46,53:20:40,Main group,100,+0'57'',+0'57'',39.05 km/h,29.56 km,4%,49,1:12:46,53:33:03,Main group,60,+0'35'',+0'35'',41.89 km/h,37.04 km,-,49,1:12:46,53:45:46,Main group,67,+0'47'',+0'47'',39.59 km/h,64.58 km,-2%,49,1:12:46,53:58:18,Main group,65,+0'25'',+0'25'',59.16 km/h,54.76 km,-,49,1:12:46,54:03:47,Main group,33,+0'24'',+0'24'',55.30 km/h,55.26 km,-1%,49,1:12:46,54:10:32,Main group,15,+0'00'',+0'00'',49.74 km/h,52.45 km,-,49,1:12:46,54:16:47,Main group,38,+0'00'',-,-,-,-,48,1:12:46,54:23:24
B. JUNGELS,105,QST,no,13,49h 33' 52'',0:09:09,03h 45' 55'',Main group,76,+0'00'',+0'00'',0 km/h,0 km/h,0%,13,0:09:09,49:33:52,Main group,124,+0'58'',+0'25'',50.12 km/h,39.64 km,-4%,12,0:09:09,49:56:47,Main group,112,+1'45'',+0'49'',55.89 km/h,45.50 km,-2%,12,0:09:09,50:10:38,Main group,27,+3'20'',+3'20'',49.31 km/h,52.31 km,-1%,12,0:09:09,50:23:53,Main group,64,+2'14'',+2'14'',51.19 km/h,87.91 km,-6%,12,0:09:09,50:36:23,Main group,91,+1'42'',+1'42'',39.19 km/h,54.22 km,-,12,0:09:09,50:48:41,Main group,56,+1'34'',+1'34'',41.01 km/h,38.84 km,-1%,12,0:09:09,51:00:58,Main group,111,+2'00'',+2'00'',40.45 km/h,42.98 km,-2%,12,0:09:09,51:13:50,Main group,104,+2'10'',+2'10'',43.81 km/h,41.47 km,-,12,0:09:09,51:27:42,Main group,80,+2'06'',+2'06'',38.46 km/h,38.59 km,3%,12,0:09:09,51:39:12,Main group,100,+1'30'',+1'30'',44.90 km/h,44.71 km,-,12,0:09:09,51:51:51,Main group,59,+1'00'',+1'00'',29.76 km/h,23.87 km,5%,12,0:09:09,52:03:48,Main group,96,+0'51'',+0'51'',40.18 km/h,31.03 km,-2%,12,0:09:09,52:17:03,Main group,84,+0'57'',+0'57'',38.42 km/h,27.54 km,4%,12,0:09:09,52:29:26,Main group,69,+0'35'',+0'35'',41.61 km/h,35.17 km,-,12,0:09:09,52:42:09,Main group,75,+0'47'',+0'47'',39.09 km/h,64.22 km,-3%,12,0:09:09,52:54:41,Main group,96,+0'25'',+0'25'',59.01 km/h,55.04 km,-,12,0:09:09,53:00:10,Main group,87,+0'24'',+0'24'',54.91 km/h,55.84 km,-1%,12,0:09:09,53:06:55,Main group,69,+0'00'',+0'00'',49.33 km/h,53.35 km,-1%,12,0:09:09,53:13:10,Main group,31,+0'00'',-,-,-,-,12,0:09:09,53:19:47
Y. LAMPAERT,106,QST,no,93,51h 05' 16'',1:40:33,03h 45' 55'',Main group,77,+0'00'',+0'00'',0 km/h,0 km/h,0%,93,1:40:33,51:05:16,Main group,20,+0'58'',+0'25'',48.94 km/h,40.86 km,-5%,91,1:40:33,51:28:11,Main group,123,+1'45'',+0'49'',54.53 km/h,46.22 km,-2%,91,1:40:33,51:42:02,Main group,105,+3'20'',+3'20'',49.08 km/h,51.26 km,-1%,91,1:40:33,51:55:17,Main group,89,+2'14'',+2'14'',52.47 km/h,86.00 km,-6%,91,1:40:33,52:07:47,Main group,106,+1'42'',+1'42'',40.72 km/h,50.58 km,-,91,1:40:33,52:20:05,Main group,147,+1'34'',+1'34'',44.25 km/h,44.10 km,-1%,91,1:40:33,52:32:22,Main group,128,+2'00'',+2'00'',37.13 km/h,42.01 km,-2%,91,1:40:33,52:45:14,Main group,141,+2'10'',+2'10'',44.07 km/h,38.34 km,-,91,1:40:33,52:59:06,Main group,142,+2'06'',+2'06'',39.38 km/h,37.12 km,3%,91,1:40:33,53:10:36,Main group,149,+1'40'',+1'40'',45.43 km/h,32.50 km,4%,91,1:40:43,53:23:25,Main group,65,+1'00'',+1'00'',28.72 km/h,19.80 km,5%,91,1:40:33,53:35:12,Main group,150,+0'51'',+0'51'',38.91 km/h,36.00 km,1%,91,1:40:33,53:48:27,Main group,107,+0'57'',+0'57'',38.69 km/h,28.91 km,4%,91,1:40:33,54:00:50,Main group,103,+0'35'',+0'35'',41.25 km/h,32.90 km,-,91,1:40:33,54:13:33,Main group,47,+0'47'',+0'47'',39.43 km/h,63.14 km,-2%,91,1:40:33,54:26:05,Main group,37,+0'25'',+0'25'',59.85 km/h,54.83 km,-,91,1:40:33,54:31:34,Main group,48,+0'24'',+0'24'',55.38 km/h,54.79 km,-1%,91,1:40:33,54:38:19,Main group,17,+0'00'',+0'00'',49.89 km/h,53.03 km,-,91,1:40:33,54:44:34,Main group,6,+0'00'',-,-,-,-,91,1:40:33,54:51:11
M. RICHEZE,107,QST,no,140,51h 32' 35'',2:07:52,03h 45' 55'',Main group,78,+0'00'',+0'00'',0 km/h,0 km/h,0%,140,2:07:52,51:32:35,Main group,137,+0'58'',+0'25'',51.04 km/h,36.68 km,-4%,138,2:07:52,51:55:30,Main group,142,+1'45'',+0'49'',56.23 km/h,44.82 km,-2%,138,2:07:52,52:09:21,Main group,94,+3'20'',+3'20'',49.98 km/h,50.54 km,-1%,138,2:07:52,52:22:36,Main group,119,+2'14'',+2'14'',51.56 km/h,86.61 km,-7%,138,2:07:52,52:35:06,Main group,110,+1'42'',+1'42'',40.72 km/h,49.50 km,-,138,2:07:52,52:47:24,Main group,103,+1'34'',+1'34'',41.36 km/h,40.72 km,-1%,138,2:07:52,52:59:41,Main group,114,+2'00'',+2'00'',37.45 km/h,42.05 km,-2%,138,2:07:52,53:12:33,Main group,129,+2'10'',+2'10'',44.42 km/h,40.61 km,-,138,2:07:52,53:26:25,Main group,143,+2'06'',+2'06'',39.21 km/h,36.07 km,3%,138,2:07:52,53:37:55,Main group,144,+1'30'',+1'30'',44.32 km/h,39.53 km,-,138,2:07:52,53:50:34,Main group,62,+1'00'',+1'00'',29.20 km/h,21.24 km,5%,138,2:07:52,54:02:31,Main group,91,+0'51'',+0'51'',40.47 km/h,32.36 km,-2%,138,2:07:52,54:15:46,Main group,104,+0'57'',+0'57'',38.86 km/h,27.83 km,4%,138,2:07:52,54:28:09,Main group,82,+0'35'',+0'35'',41.60 km/h,31.36 km,-,138,2:07:52,54:40:52,Main group,64,+0'47'',+0'47'',39.75 km/h,62.96 km,-2%,138,2:07:52,54:53:24,Main group,29,+0'25'',+0'25'',59.62 km/h,49.03 km,-,138,2:07:52,54:58:53,Main group,26,+0'24'',+0'24'',54.97 km/h,54.72 km,-1%,138,2:07:52,55:05:38,Main group,45,+0'00'',+0'00'',49.78 km/h,52.85 km,-,138,2:07:52,55:11:53,Main group,28,+0'00'',-,-,-,-,137,2:07:52,55:18:30
N. TERPSTRA,108,QST,no,133,51h 28' 25'',2:03:42,03h 48' 03'',Main group,79,+0'00'',+0'00'',0 km/h,0 km/h,0%,133,2:03:42,51:28:25,Main group,37,+0'58'',+0'25'',49.81 km/h,40.18 km,-5%,131,2:03:42,51:51:20,Main group,24,+1'45'',+0'49'',55.33 km/h,45.97 km,-3%,131,2:03:42,52:05:11,Main group,93,+3'20'',+3'20'',49.08 km/h,51.37 km,-1%,131,2:03:42,52:18:26,Main group,34,+2'14'',+2'14'',51.37 km/h,82.62 km,-5%,131,2:03:42,52:30:56,Main group,26,+1'42'',+1'42'',41.17 km/h,45.65 km,-,131,2:03:42,52:43:14,Main group,52,+1'34'',+1'34'',40.80 km/h,38.56 km,-1%,131,2:03:42,52:55:31,Main group,98,+2'00'',+2'00'',37.04 km/h,43.92 km,-2%,131,2:03:42,53:08:23,Main group,115,+2'10'',+2'10'',44.22 km/h,41.62 km,-,131,2:03:42,53:22:15,Main group,53,+2'06'',+2'06'',37.71 km/h,36.36 km,3%,131,2:03:42,53:33:45,Main group,97,+1'30'',+1'30'',45.13 km/h,44.28 km,-,131,2:03:42,53:46:24,Main group,149,+1'00'',+1'00'',29.85 km/h,24.55 km,5%,131,2:03:42,53:58:21,Main group,126,+0'51'',+0'51'',41.30 km/h,31.03 km,-2%,131,2:03:42,54:11:36,Main group,124,+0'57'',+0'57'',38.79 km/h,35.14 km,4%,131,2:03:42,54:23:59,Main group,49,+0'35'',+0'35'',42.00 km/h,38.09 km,-,131,2:03:42,54:36:42,Main group,128,+0'47'',+0'47'',39.11 km/h,61.16 km,-3%,131,2:03:42,54:49:14,Main group,111,+0'25'',+0'25'',59.44 km/h,52.49 km,-,131,2:03:42,54:54:43,Main group,99,+0'24'',+0'24'',55.27 km/h,56.23 km,-1%,131,2:03:42,55:01:28,Main group,116,+0'00'',+0'00'',49.65 km/h,49.43 km,-1%,131,2:03:42,55:07:43,Stragglers,145,+2'08'',-,-,-,-,133,2:05:50,55:16:28
P. SAGAN,111,BOH,Points,63,50h 48' 10'',1:23:27,03h 45' 55'',Main group,80,+0'00'',+0'00'',0 km/h,0 km/h,0%,63,1:23:27,50:48:10,Main group,75,+0'58'',+0'25'',49.82 km/h,38.77 km,-4%,62,1:23:27,51:11:05,Main group,69,+1'45'',+0'49'',54.52 km/h,44.39 km,-2%,62,1:23:27,51:24:56,Main group,55,+3'20'',+3'20'',50.16 km/h,50.26 km,-1%,63,1:23:27,51:38:11,Main group,35,+2'14'',+2'14'',50.53 km/h,84.20 km,-5%,62,1:23:27,51:50:41,Main group,31,+1'42'',+1'42'',39.67 km/h,42.55 km,-,62,1:23:27,52:02:59,Main group,15,+1'34'',+1'34'',41.38 km/h,38.52 km,-1%,62,1:23:27,52:15:16,Main group,7,+2'00'',+2'00'',37.35 km/h,44.96 km,-3%,62,1:23:27,52:28:08,Main group,23,+2'10'',+2'10'',44.22 km/h,43.27 km,1%,62,1:23:27,52:42:00,Main group,16,+2'06'',+2'06'',37.05 km/h,37.98 km,3%,62,1:23:27,52:53:30,Main group,47,+1'30'',+1'30'',45.29 km/h,45.43 km,-1%,62,1:23:27,53:06:09,Main group,23,+1'00'',+1'00'',28.44 km/h,23.18 km,5%,62,1:23:27,53:18:06,Main group,29,+0'51'',+0'51'',39.38 km/h,37.19 km,-2%,62,1:23:27,53:31:21,Main group,40,+0'57'',+0'57'',38.92 km/h,24.73 km,4%,62,1:23:27,53:43:44,Main group,28,+0'35'',+0'35'',41.22 km/h,39.24 km,-1%,62,1:23:27,53:56:27,Main group,7,+0'47'',+0'47'',39.11 km/h,64.22 km,-2%,62,1:23:27,54:08:59,Main group,49,+0'25'',+0'25'',59.80 km/h,50.76 km,-,62,1:23:27,54:14:28,Main group,4,+0'24'',+0'24'',55.41 km/h,56.48 km,-1%,62,1:23:27,54:21:13,Main group,75,+0'00'',+0'00'',49.45 km/h,49.36 km,-1%,62,1:23:27,54:27:28,Main group,1,+0'00'',-,-,-,-,60,1:23:17,54:33:55
M. BODNAR,112,BOH,no,143,51h 33' 52'',2:09:09,03h 47' 18'',Main group,81,+0'00'',+0'00'',0 km/h,0 km/h,0%,143,2:09:09,51:33:52,Main group,108,+0'58'',+0'25'',49.02 km/h,37.62 km,-4%,141,2:09:09,51:56:47,Main group,81,+1'45'',+0'49'',54.83 km/h,43.96 km,-2%,140,2:09:09,52:10:38,Main group,47,+3'20'',+3'20'',48.95 km/h,52.88 km,-1%,141,2:09:09,52:23:53,Main group,41,+2'14'',+2'14'',49.70 km/h,85.54 km,-5%,141,2:09:09,52:36:23,Main group,17,+1'42'',+1'42'',40.02 km/h,46.01 km,-,141,2:09:09,52:48:41,Main group,26,+1'34'',+1'34'',41.02 km/h,40.03 km,-1%,141,2:09:09,53:00:58,Main group,16,+2'00'',+2'00'',36.04 km/h,45.25 km,-3%,141,2:09:09,53:13:50,Main group,22,+2'10'',+2'10'',44.18 km/h,43.49 km,1%,141,2:09:09,53:27:42,Main group,27,+2'06'',+2'06'',37.01 km/h,36.86 km,3%,141,2:09:09,53:39:12,Main group,21,+1'30'',+1'30'',45.57 km/h,49.28 km,-1%,141,2:09:09,53:51:51,Main group,20,+1'00'',+1'00'',28.66 km/h,23.15 km,5%,141,2:09:09,54:03:48,Main group,19,+0'51'',+0'51'',39.52 km/h,39.38 km,-2%,141,2:09:09,54:17:03,Main group,26,+0'57'',+0'57'',38.60 km/h,31.25 km,3%,140,2:09:09,54:29:26,Main group,31,+0'35'',+0'35'',40.63 km/h,42.44 km,-1%,141,2:09:09,54:42:09,Main group,43,+0'47'',+0'47'',38.52 km/h,64.62 km,-2%,141,2:09:09,54:54:41,Main group,18,+0'25'',+0'25'',59.38 km/h,48.67 km,-,141,2:09:09,55:00:10,Main group,14,+0'24'',+0'24'',55.09 km/h,56.48 km,-1%,141,2:09:09,55:06:55,Main group,38,+0'00'',+0'00'',49.26 km/h,53.14 km,-,141,2:09:09,55:13:10,Stragglers,84,+1'23'',-,-,-,-,143,2:10:32,55:21:10
M. BURGHARDT,113,BOH,no,73,50h 54' 00'',1:29:17,03h 47' 51'',Main group,82,+0'00'',+0'00'',0 km/h,0 km/h,0%,73,1:29:17,50:54:00,Main group,5,+0'58'',+0'25'',49.07 km/h,41.00 km,-5%,72,1:29:17,51:16:55,Main group,14,+1'45'',+0'49'',55.28 km/h,44.53 km,-3%,72,1:29:17,51:30:46,Main group,30,+3'20'',+3'20'',48.64 km/h,51.77 km,-1%,72,1:29:17,51:44:01,Main group,87,+2'14'',+2'14'',53.25 km/h,85.72 km,-6%,72,1:29:17,51:56:31,Main group,19,+1'42'',+1'42'',40.80 km/h,45.83 km,-,72,1:29:17,52:08:49,Main group,21,+1'34'',+1'34'',40.57 km/h,39.02 km,-1%,72,1:29:17,52:21:06,Main group,35,+2'00'',+2'00'',37.25 km/h,43.74 km,-3%,72,1:29:17,52:33:58,Main group,26,+2'10'',+2'10'',44.27 km/h,44.71 km,-,72,1:29:17,52:47:50,Main group,34,+2'06'',+2'06'',37.48 km/h,38.27 km,3%,72,1:29:17,52:59:20,Main group,16,+1'30'',+1'30'',45.98 km/h,48.64 km,-1%,72,1:29:17,53:11:59,Main group,9,+1'00'',+1'00'',28.36 km/h,24.48 km,5%,72,1:29:17,53:23:56,Main group,30,+0'51'',+0'51'',39.49 km/h,36.43 km,-2%,72,1:29:17,53:37:11,Main group,24,+0'57'',+0'57'',38.14 km/h,30.53 km,3%,72,1:29:17,53:49:34,Main group,18,+0'35'',+0'35'',41.01 km/h,41.94 km,-1%,72,1:29:17,54:02:17,Main group,14,+0'47'',+0'47'',38.82 km/h,65.48 km,-2%,72,1:29:17,54:14:49,Main group,3,+0'25'',+0'25'',59.49 km/h,46.94 km,-,72,1:29:17,54:20:18,Main group,10,+0'24'',+0'24'',55.01 km/h,54.94 km,-1%,72,1:29:17,54:27:03,Main group,32,+0'00'',+0'00'',49.39 km/h,53.28 km,-,72,1:29:17,54:33:18,Stragglers,102,+1'56'',-,-,-,-,74,1:31:13,54:41:51
R. MAJKA,114,BOH,no,21,49h 53' 21'',0:28:38,03h 48' 03'',Main group,83,+0'00'',+0'00'',0 km/h,0 km/h,0%,21,0:28:38,49:53:21,Main group,133,+0'58'',+0'25'',50.61 km/h,35.57 km,-4%,20,0:28:38,50:16:16,Main group,60,+1'45'',+0'49'',56.89 km/h,44.32 km,-2%,20,0:28:38,50:30:07,Main group,87,+3'20'',+3'20'',48.22 km/h,50.18 km,-1%,20,0:28:38,50:43:22,Main group,47,+2'14'',+2'14'',50.67 km/h,84.42 km,-5%,20,0:28:38,50:55:52,Main group,112,+1'42'',+1'42'',40.66 km/h,49.79 km,-,20,0:28:38,51:08:10,Main group,109,+1'34'',+1'34'',41.54 km/h,39.49 km,-1%,20,0:28:38,51:20:27,Main group,84,+2'00'',+2'00'',36.86 km/h,42.77 km,-2%,20,0:28:38,51:33:19,Main group,109,+2'10'',+2'10'',43.68 km/h,40.61 km,-,20,0:28:38,51:47:11,Main group,138,+2'06'',+2'06'',38.32 km/h,34.74 km,3%,20,0:28:38,51:58:41,Main group,115,+1'30'',+1'30'',44.25 km/h,41.18 km,-,20,0:28:38,52:11:20,Main group,146,+1'00'',+1'00'',29.61 km/h,25.96 km,5%,20,0:28:38,52:23:17,Main group,129,+0'51'',+0'51'',41.40 km/h,32.51 km,-2%,20,0:28:38,52:36:32,Main group,134,+0'57'',+0'57'',41.77 km/h,31.86 km,4%,20,0:28:38,52:48:55,Main group,149,+0'35'',+0'35'',40.91 km/h,35.17 km,-,20,0:28:38,53:01:38,Main group,140,+0'47'',+0'47'',38.41 km/h,64.91 km,-3%,20,0:28:38,53:14:10,Main group,146,+0'25'',+0'25'',59.27 km/h,54.18 km,-,20,0:28:38,53:19:39,Main group,132,+0'24'',+0'24'',55.37 km/h,56.81 km,-1%,20,0:28:38,53:26:24,Main group,130,+0'00'',+0'00'',49.20 km/h,51.88 km,-2%,20,0:28:38,53:32:39,Stragglers,117,+2'08'',-,-,-,-,20,0:30:46,53:41:24
