Rider_name,Rider_number,Team,Leader,GC_at_start_of_the_stage,GC_Total_riding_time,GC_Gap_at_start_of_stage,Finish_Time,km171_Group,km171_Position,km171_Elapsed_time,km171_Gap_to_previous_group,km171_Average_speed,km171_Current_speed,km171_Gradient,km171_GC_prov_position,km171_GC_prov_delay,km171_GC_riding_time,km170_Group,km170_Position,km170_Elapsed_time,km170_Gap_to_previous_group,km170_Average_speed,km170_Current_speed,km170_Gradient,km170_GC_prov_position,km170_GC_prov_delay,km170_GC_riding_time,km160_Group,km160_Position,km160_Elapsed_time,km160_Gap_to_previous_group,km160_Average_speed,km160_Current_speed,km160_Gradient,km160_GC_prov_position,km160_GC_prov_delay,km160_GC_riding_time,km150_Group,km150_Position,km150_Elapsed_time,km150_Gap_to_previous_group,km150_Average_speed,km150_Current_speed,km150_Gradient,km150_GC_prov_position,km150_GC_prov_delay,km150_GC_riding_time,km140_Group,km140_Position,km140_Elapsed_time,km140_Gap_to_previous_group,km140_Average_speed,km140_Current_speed,km140_Gradient,km140_GC_prov_position,km140_GC_prov_delay,km140_GC_riding_time,km130_Group,km130_Position,km130_Elapsed_time,km130_Gap_to_previous_group,km130_Average_speed,km130_Current_speed,km130_Gradient,km130_GC_prov_position,km130_GC_prov_delay,km130_GC_riding_time,km120_Group,km120_Position,km120_Elapsed_time,km120_Gap_to_previous_group,km120_Average_speed,km120_Current_speed,km120_Gradient,km120_GC_prov_position,km120_GC_prov_delay,km120_GC_riding_time,km110_Group,km110_Position,km110_Elapsed_time,km110_Gap_to_previous_group,km110_Average_speed,km110_Current_speed,km110_Gradient,km110_GC_prov_position,km110_GC_prov_delay,km110_GC_riding_time,km100_Group,km100_Position,km100_Elapsed_time,km100_Gap_to_previous_group,km100_Average_speed,km100_Current_speed,km100_Gradient,km100_GC_prov_position,km100_GC_prov_delay,km100_GC_riding_time,km90_Group,km90_Position,km90_Elapsed_time,km90_Gap_to_previous_group,km90_Average_speed,km90_Current_speed,km90_Gradient,km90_GC_prov_position,km90_GC_prov_delay,km90_GC_riding_time,km80_Group,km80_Position,km80_Elapsed_time,km80_Gap_to_previous_group,km80_Average_speed,km80_Current_speed,km80_Gradient,km80_GC_prov_position,km80_GC_prov_delay,km80_GC_riding_time,km70_Group,km70_Position,km70_Elapsed_time,km70_Gap_to_previous_group,km70_Average_speed,km70_Current_speed,km70_Gradient,km70_GC_prov_position,km70_GC_prov_delay,km70_GC_riding_time,km60_Group,km60_Position,km60_Elapsed_time,km60_Gap_to_previous_group,km60_Average_speed,km60_Current_speed,km60_Gradient,km60_GC_prov_position,km60_GC_prov_delay,km60_GC_riding_time,km50_Group,km50_Position,km50_Elapsed_time,km50_Gap_to_previous_group,km50_Average_speed,km50_Current_speed,km50_Gradient,km50_GC_prov_position,km50_GC_prov_delay,km50_GC_riding_time,km40_Group,km40_Position,km40_Elapsed_time,km40_Gap_to_previous_group,km40_Average_speed,km40_Current_speed,km40_Gradient,km40_GC_prov_position,km40_GC_prov_delay,km40_GC_riding_time,km30_Group,km30_Position,km30_Elapsed_time,km30_Gap_to_previous_group,km30_Average_speed,km30_Current_speed,km30_Gradient,km30_GC_prov_position,km30_GC_prov_delay,km30_GC_riding_time,km20_Group,km20_Position,km20_Elapsed_time,km20_Gap_to_previous_group,km20_Average_speed,km20_Current_speed,km20_Gradient,km20_GC_prov_position,km20_GC_prov_delay,km20_GC_riding_time,km15_Group,km15_Position,km15_Elapsed_time,km15_Gap_to_previous_group,km15_Average_speed,km15_Current_speed,km15_Gradient,km15_GC_prov_position,km15_GC_prov_delay,km15_GC_riding_time,km10_Group,km10_Position,km10_Elapsed_time,km10_Gap_to_previous_group,km10_Average_speed,km10_Current_speed,km10_Gradient,km10_GC_prov_position,km10_GC_prov_delay,km10_GC_riding_time,km5_Group,km5_Position,km5_Elapsed_time,km5_Gap_to_previous_group,km5_Average_speed,km5_Current_speed,km5_Gradient,km5_GC_prov_position,km5_GC_prov_delay,km5_GC_riding_time,km0_Group,km0_Position,km0_Elapsed_time,km0_Gap_to_previous_group,km0_Average_speed,km0_Current_speed,km0_Gradient,km0_GC_prov_position,km0_GC_prov_delay,km0_GC_riding_time
R. MAJKA,114,BOH,no,23,71h 09' 19'',0:35:08,03h 49' 11'',Main group,78,+0'00'',+0'00'',0 km/h,0 km/h,0%,23,0:35:08,71:09:19,Main group,138,+0'00'',+0'00'',21.35 km/h,26.24 km,6%,23,0:35:08,71:11:20,Main group,133,+0'00'',+0'00'',55.71 km/h,56.05 km,-1%,23,0:35:08,71:22:12,Main group,117,+0'19'',+0'19'',55.93 km/h,51.08 km,-,23,0:35:08,71:34:11,Main group,78,+1'37'',+1'37'',43.84 km/h,48.24 km,-,23,0:35:08,71:46:51,Main group,58,+1'04'',+1'04'',38.62 km/h,43.96 km,-,23,0:35:08,72:01:43,Main group,103,+1'37'',+1'37'',44.44 km/h,49.21 km,-,23,0:35:08,72:14:51,Main group,118,+1'21'',+1'21'',45.85 km/h,39.42 km,-,23,0:35:08,72:29:58,Main group,122,+0'58'',+0'31'',53.16 km/h,60.62 km,-1%,22,0:35:08,72:45:14,Main group,105,+2'06'',+2'06'',39.93 km/h,42.91 km,-1%,22,0:35:08,72:58:45,Main group,77,+1'29'',+1'29'',33.04 km/h,62.82 km,-9%,22,0:35:08,73:13:49,Main group,46,+1'38'',+1'38'',37.52 km/h,45.00 km,1%,22,0:35:08,73:29:42,Main group,55,+1'26'',+1'26'',41.84 km/h,22.28 km,5%,22,0:35:08,73:43:23,Main group,40,+1'15'',+1'15'',43.11 km/h,44.03 km,-,22,0:35:08,73:58:15,Main group,47,+0'50'',+0'50'',38.58 km/h,47.48 km,1%,22,0:35:08,74:10:55,Main group,138,+0'40'',+0'40'',49.95 km/h,67.54 km,-5%,22,0:35:08,74:22:52,Main group,111,+0'25'',+0'25'',50.18 km/h,37.80 km,2%,22,0:35:08,74:33:04,Main group,116,+0'00'',+0'00'',43.07 km/h,53.60 km,2%,22,0:35:08,74:40:06,Main group,120,+0'00'',+0'00'',50.36 km/h,73.19 km,-4%,22,0:35:08,74:46:01,Main group,126,+0'00'',+0'00'',55.88 km/h,47.12 km,-1%,22,0:35:08,74:50:40,Stragglers,117,+2'21'',-,-,-,-,23,0:37:29,74:58:30
G. MUHLBERGER,115,BOH,no,74,72h 39' 08'',2:04:57,03h 49' 11'',Main group,79,+0'00'',+0'00'',0 km/h,0 km/h,0%,74,2:04:57,72:39:08,Main group,137,+0'00'',+0'00'',21.99 km/h,27.29 km,6%,74,2:04:57,72:41:09,Main group,119,+0'00'',+0'00'',56.01 km/h,57.42 km,-1%,74,2:04:57,72:52:01,Main group,134,+0'19'',+0'19'',56.13 km/h,57.49 km,-,74,2:04:57,73:04:00,Back of the race,123,+2'13'',+0'36'',40.57 km/h,51.28 km,-1%,74,2:05:33,73:17:16,Main group,123,+1'04'',+1'04'',39.22 km/h,41.62 km,-,74,2:04:57,73:31:32,Main group,82,+1'37'',+1'37'',45.12 km/h,49.32 km,-1%,74,2:04:57,73:44:40,Main group,128,+1'21'',+1'21'',46.32 km/h,39.46 km,-,74,2:04:57,73:59:47,Main group,54,+0'58'',+0'31'',54.27 km/h,61.52 km,-1%,73,2:04:57,74:15:03,Main group,34,+2'06'',+2'06'',40.82 km/h,45.79 km,-1%,73,2:04:57,74:28:34,Main group,89,+1'29'',+1'29'',33.12 km/h,63.94 km,-10%,73,2:04:57,74:43:38,Main group,70,+1'38'',+1'38'',37.02 km/h,41.72 km,-,73,2:04:57,74:59:31,Main group,68,+1'26'',+1'26'',41.96 km/h,21.49 km,5%,73,2:04:57,75:13:12,Main group,128,+1'15'',+1'15'',42.77 km/h,44.28 km,-,73,2:04:57,75:28:04,Main group,44,+0'50'',+0'50'',38.84 km/h,48.17 km,1%,73,2:04:57,75:40:44,Main group,69,+0'40'',+0'40'',50.38 km/h,70.02 km,-5%,73,2:04:57,75:52:41,Main group,119,+0'25'',+0'25'',50.01 km/h,37.01 km,2%,73,2:04:57,76:02:53,Main group,117,+0'00'',+0'00'',43.49 km/h,51.16 km,2%,73,2:04:57,76:09:55,Main group,49,+0'00'',+0'00'',51.80 km/h,66.38 km,-7%,73,2:04:57,76:15:50,Main group,120,+0'00'',+0'00'',54.32 km/h,48.85 km,-1%,73,2:04:57,76:20:29,Stragglers,114,+2'21'',-,-,-,-,74,2:07:18,76:28:19
D. OSS,116,BOH,no,116,73h 21' 51'',2:47:40,03h 46' 50'',Main group,80,+0'00'',+0'00'',0 km/h,0 km/h,0%,116,2:47:40,73:21:51,Main group,65,+0'00'',+0'00'',21.67 km/h,24.88 km,7%,115,2:47:40,73:23:52,Main group,32,+0'00'',+0'00'',56.10 km/h,53.89 km,-,115,2:47:40,73:34:44,Main group,13,+0'19'',+0'19'',55.34 km/h,48.60 km,-,115,2:47:40,73:46:43,Main group,16,+1'37'',+1'37'',44.95 km/h,44.89 km,-,115,2:47:40,73:59:23,Main group,7,+1'04'',+1'04'',37.97 km/h,42.55 km,-,115,2:47:40,74:14:15,Main group,18,+1'37'',+1'37'',45.00 km/h,46.87 km,-1%,115,2:47:40,74:27:23,Main group,31,+1'21'',+1'21'',46.29 km/h,40.14 km,1%,115,2:47:40,74:42:30,Main group,50,+0'58'',+0'31'',54.17 km/h,62.96 km,-1%,114,2:47:40,74:57:46,Main group,31,+2'06'',+2'06'',40.21 km/h,45.36 km,-1%,114,2:47:40,75:11:17,Main group,36,+1'29'',+1'29'',34.06 km/h,61.54 km,-8%,114,2:47:40,75:26:21,Main group,49,+1'38'',+1'38'',38.85 km/h,45.25 km,1%,114,2:47:40,75:42:14,Main group,46,+1'26'',+1'26'',42.00 km/h,22.93 km,5%,114,2:47:40,75:55:55,Main group,39,+1'15'',+1'15'',43.00 km/h,44.71 km,-,114,2:47:40,76:10:47,Main group,48,+0'50'',+0'50'',38.81 km/h,47.12 km,1%,114,2:47:40,76:23:27,Main group,54,+0'40'',+0'40'',50.53 km/h,68.98 km,-5%,114,2:47:40,76:35:24,Main group,61,+0'25'',+0'25'',49.47 km/h,38.45 km,2%,114,2:47:40,76:45:36,Main group,3,+0'00'',+0'00'',44.26 km/h,49.90 km,1%,114,2:47:40,76:52:38,Main group,20,+0'00'',+0'00'',51.71 km/h,58.79 km,-7%,114,2:47:40,76:58:33,Main group,2,+0'00'',+0'00'',54.90 km/h,55.62 km,-1%,114,2:47:40,77:03:12,Main group,88,+0'00'',-,-,-,-,114,2:47:40,77:08:41
P. POLJANSKI,117,BOH,no,94,73h 01' 10'',2:26:59,03h 49' 11'',Main group,81,+0'00'',+0'00'',0 km/h,0 km/h,0%,94,2:26:59,73:01:10,Main group,131,+0'00'',+0'00'',21.24 km/h,24.34 km,6%,93,2:26:59,73:03:11,Main group,115,+0'00'',+0'00'',55.94 km/h,57.82 km,-1%,93,2:26:59,73:14:03,Main group,110,+0'19'',+0'19'',55.54 km/h,54.14 km,-,93,2:26:59,73:26:02,Back of the race,141,+2'13'',+0'36'',39.62 km/h,49.32 km,-,93,2:27:35,73:39:18,Main group,79,+1'04'',+1'04'',38.60 km/h,44.42 km,-,93,2:26:59,73:53:34,Main group,87,+1'37'',+1'37'',44.23 km/h,49.14 km,-,93,2:26:59,74:06:42,Main group,119,+1'21'',+1'21'',46.05 km/h,40.64 km,-,93,2:26:59,74:21:49,Main group,104,+0'58'',+0'31'',53.53 km/h,61.31 km,-1%,92,2:26:59,74:37:05,Main group,104,+2'06'',+2'06'',40.38 km/h,45.36 km,-1%,92,2:26:59,74:50:36,Main group,70,+1'29'',+1'29'',34.18 km/h,63.65 km,-9%,92,2:26:59,75:05:40,Main group,42,+1'38'',+1'38'',37.66 km/h,46.48 km,1%,92,2:26:59,75:21:33,Main group,73,+1'26'',+1'26'',41.98 km/h,21.38 km,5%,92,2:26:59,75:35:14,Main group,46,+1'15'',+1'15'',42.99 km/h,44.57 km,-,92,2:26:59,75:50:06,Main group,49,+0'50'',+0'50'',38.85 km/h,47.48 km,1%,92,2:26:59,76:02:46,Main group,41,+0'40'',+0'40'',50.61 km/h,67.43 km,-5%,92,2:26:59,76:14:43,Main group,100,+0'25'',+0'25'',49.87 km/h,37.62 km,2%,92,2:26:59,76:24:55,Main group,108,+0'00'',+0'00'',43.53 km/h,50.00 km,2%,92,2:26:59,76:31:57,Main group,89,+0'00'',+0'00'',51.00 km/h,68.80 km,-6%,92,2:26:59,76:37:52,Main group,85,+0'00'',+0'00'',54.89 km/h,45.36 km,-1%,92,2:26:59,76:42:31,Stragglers,120,+2'21'',-,-,-,-,95,2:29:20,76:50:21
L. POSTLBERGER,118,BOH,no,129,73h 39' 34'',3:05:23,03h 49' 11'',Main group,82,+0'00'',+0'00'',0 km/h,0 km/h,0%,129,3:05:23,73:39:34,Main group,116,+0'00'',+0'00'',21.71 km/h,25.31 km,6%,128,3:05:23,73:41:35,Main group,59,+0'00'',+0'00'',55.67 km/h,57.64 km,-,128,3:05:23,73:52:27,Main group,33,+0'19'',+0'19'',54.94 km/h,45.79 km,-,128,3:05:23,74:04:26,Back of the race,121,+2'13'',+0'36'',40.18 km/h,47.99 km,-1%,129,3:05:59,74:17:42,Main group,108,+1'04'',+1'04'',39.53 km/h,42.30 km,-,128,3:05:23,74:31:58,Main group,100,+1'37'',+1'37'',44.88 km/h,52.92 km,-,128,3:05:23,74:45:06,Main group,104,+1'21'',+1'21'',46.33 km/h,39.89 km,-,128,3:05:23,75:00:13,Main group,138,+0'58'',+0'31'',50.76 km/h,56.59 km,-,127,3:05:23,75:15:29,Main group,93,+2'06'',+2'06'',45.19 km/h,46.19 km,-1%,127,3:05:23,75:29:00,Main group,133,+1'29'',+1'29'',32.59 km/h,57.60 km,-6%,127,3:05:23,75:44:04,Main group,142,+1'38'',+1'38'',36.92 km/h,35.93 km,2%,127,3:05:23,75:59:57,Main group,53,+1'26'',+1'26'',43.34 km/h,22.00 km,5%,127,3:05:23,76:13:38,Main group,134,+1'15'',+1'15'',42.52 km/h,45.22 km,-,127,3:05:23,76:28:30,Main group,111,+0'50'',+0'50'',37.99 km/h,46.37 km,-,127,3:05:23,76:41:10,Main group,139,+0'40'',+0'40'',50.03 km/h,66.17 km,-5%,127,3:05:23,76:53:07,Main group,43,+0'25'',+0'25'',49.88 km/h,36.76 km,2%,127,3:05:23,77:03:19,Main group,73,+0'00'',+0'00'',43.76 km/h,49.97 km,2%,127,3:05:23,77:10:21,Main group,1,03h 36' 42'',+0'00'',52.69 km/h,72.25 km,-6%,127,3:05:23,77:16:16,Main group,13,+0'00'',+0'00'',54.58 km/h,51.95 km,-1%,127,3:05:23,77:20:55,Stragglers,116,+2'21'',-,-,-,-,132,3:07:44,77:28:45
J. FUGLSANG,121,AST,no,10,70h 43' 42'',0:09:31,03h 46' 50'',Main group,83,+0'00'',+0'00'',0 km/h,0 km/h,0%,10,0:09:31,70:43:42,Main group,129,+0'00'',+0'00'',22.11 km/h,23.26 km,6%,10,0:09:31,70:45:43,Main group,137,+0'00'',+0'00'',56.07 km/h,56.16 km,-1%,10,0:09:31,70:56:35,Main group,116,+0'19'',+0'19'',56.29 km/h,54.04 km,-,10,0:09:31,71:08:34,Main group,71,+1'37'',+1'37'',44.48 km/h,47.16 km,-,10,0:09:31,71:21:14,Main group,83,+1'04'',+1'04'',39.20 km/h,41.80 km,-,10,0:09:31,71:36:06,Main group,115,+1'37'',+1'37'',45.14 km/h,48.78 km,-,10,0:09:31,71:49:14,Main group,112,+1'21'',+1'21'',46.39 km/h,39.06 km,-,10,0:09:31,72:04:21,Main group,38,+0'58'',+0'31'',53.95 km/h,61.24 km,-1%,9,0:09:31,72:19:37,Main group,77,+2'06'',+2'06'',40.51 km/h,44.53 km,-1%,9,0:09:31,72:33:08,Main group,80,+1'29'',+1'29'',33.84 km/h,60.91 km,-9%,9,0:09:31,72:48:12,Main group,54,+1'38'',+1'38'',37.63 km/h,44.03 km,-,9,0:09:31,73:04:05,Main group,94,+1'26'',+1'26'',42.18 km/h,22.93 km,5%,9,0:09:31,73:17:46,Main group,109,+1'15'',+1'15'',42.94 km/h,45.14 km,-,9,0:09:31,73:32:38,Main group,91,+0'50'',+0'50'',38.10 km/h,50.69 km,-,9,0:09:31,73:45:18,Main group,113,+0'40'',+0'40'',50.38 km/h,67.93 km,-5%,9,0:09:31,73:57:15,Main group,106,+0'25'',+0'25'',50.13 km/h,37.33 km,2%,9,0:09:31,74:07:27,Main group,79,+0'00'',+0'00'',44.05 km/h,49.10 km,2%,9,0:09:31,74:14:29,Main group,65,+0'00'',+0'00'',51.51 km/h,56.88 km,-7%,9,0:09:31,74:20:24,Main group,63,+0'00'',+0'00'',54.96 km/h,45.94 km,-1%,9,0:09:31,74:25:03,Main group,45,+0'00'',-,-,-,-,10,0:09:31,74:30:32
O. FRAILE MATARRANZ,122,AST,no,49,72h 06' 52'',1:32:41,03h 49' 24'',Main group,84,+0'00'',+0'00'',0 km/h,0 km/h,0%,49,1:32:41,72:06:52,Main group,99,+0'00'',+0'00'',21.55 km/h,24.98 km,6%,49,1:32:41,72:08:53,Main group,129,+0'00'',+0'00'',55.89 km/h,58.86 km,-1%,49,1:32:41,72:19:45,Main group,131,+0'19'',+0'19'',55.83 km/h,54.76 km,-,49,1:32:41,72:31:44,Back of the race,133,+2'13'',+0'36'',40.46 km/h,47.88 km,-,49,1:33:17,72:45:00,Main group,97,+1'04'',+1'04'',38.96 km/h,43.02 km,-,49,1:32:41,72:59:16,Main group,125,+1'37'',+1'37'',44.75 km/h,49.43 km,-,49,1:32:41,73:12:24,Main group,133,+1'21'',+1'21'',46.27 km/h,37.51 km,-,49,1:32:41,73:27:31,Main group,115,+0'58'',+0'31'',53.56 km/h,60.08 km,-1%,48,1:32:41,73:42:47,Main group,131,+2'06'',+2'06'',40.25 km/h,43.38 km,-,48,1:32:41,73:56:18,Main group,113,+1'29'',+1'29'',32.97 km/h,63.22 km,-8%,48,1:32:41,74:11:22,Main group,112,+1'38'',+1'38'',36.70 km/h,38.95 km,1%,48,1:32:41,74:27:15,Main group,124,+1'26'',+1'26'',42.75 km/h,24.48 km,5%,48,1:32:41,74:40:56,Main group,101,+1'15'',+1'15'',43.12 km/h,46.73 km,-,48,1:32:41,74:55:48,Main group,98,+0'50'',+0'50'',37.92 km/h,52.67 km,-,48,1:32:41,75:08:28,Main group,117,+0'40'',+0'40'',50.46 km/h,68.26 km,-5%,48,1:32:41,75:20:25,Main group,129,+0'25'',+0'25'',50.30 km/h,36.58 km,2%,48,1:32:41,75:30:37,Main group,86,+0'00'',+0'00'',43.92 km/h,49.54 km,2%,48,1:32:41,75:37:39,Main group,126,+0'00'',+0'00'',49.83 km/h,71.89 km,-4%,48,1:32:41,75:43:34,Main group,112,+0'00'',+0'00'',57.15 km/h,44.50 km,-1%,48,1:32:41,75:48:13,Stragglers,124,+2'34'',-,-,-,-,51,1:35:15,75:56:16
J. HANSEN,124,AST,no,63,72h 21' 26'',1:47:15,03h 49' 11'',Main group,85,+0'00'',+0'00'',0 km/h,0 km/h,0%,63,1:47:15,72:21:26,Main group,139,+0'00'',+0'00'',22.08 km/h,25.42 km,6%,63,1:47:15,72:23:27,Main group,130,+0'00'',+0'00'',55.80 km/h,58.32 km,-1%,63,1:47:15,72:34:19,Main group,139,+0'19'',+0'19'',55.78 km/h,57.42 km,-,63,1:47:15,72:46:18,Back of the race,130,+2'13'',+0'36'',40.51 km/h,49.82 km,-,63,1:47:51,72:59:34,Main group,109,+1'04'',+1'04'',38.85 km/h,43.20 km,-,63,1:47:15,73:13:50,Main group,114,+1'37'',+1'37'',45.31 km/h,49.90 km,-,63,1:47:15,73:26:58,Main group,111,+1'21'',+1'21'',46.92 km/h,41.40 km,-,63,1:47:15,73:42:05,Main group,110,+0'58'',+0'31'',53.79 km/h,60.88 km,-1%,62,1:47:15,73:57:21,Main group,97,+2'06'',+2'06'',40.51 km/h,45.29 km,-1%,62,1:47:15,74:10:52,Main group,132,+1'29'',+1'29'',32.91 km/h,55.58 km,-6%,62,1:47:15,74:25:56,Main group,131,+1'38'',+1'38'',37.23 km/h,36.58 km,1%,62,1:47:15,74:41:49,Main group,100,+1'26'',+1'26'',42.54 km/h,23.40 km,5%,62,1:47:15,74:55:30,Main group,93,+1'15'',+1'15'',43.11 km/h,46.80 km,-,62,1:47:15,75:10:22,Main group,106,+0'50'',+0'50'',37.87 km/h,46.98 km,-,62,1:47:15,75:23:02,Main group,114,+0'40'',+0'40'',50.40 km/h,68.26 km,-5%,62,1:47:15,75:34:59,Main group,113,+0'25'',+0'25'',50.24 km/h,35.89 km,2%,62,1:47:15,75:45:11,Main group,104,+0'00'',+0'00'',43.46 km/h,49.54 km,2%,62,1:47:15,75:52:13,Main group,92,+0'00'',+0'00'',51.38 km/h,75.92 km,-6%,62,1:47:15,75:58:08,Main group,48,+0'00'',+0'00'',56.29 km/h,43.09 km,-1%,62,1:47:15,76:02:47,Stragglers,115,+2'21'',-,-,-,-,63,1:49:36,76:10:37
T. KANGERT,125,AST,no,19,71h 01' 46'',0:27:35,03h 46' 50'',Main group,86,+0'00'',+0'00'',0 km/h,0 km/h,0%,19,0:27:35,71:01:46,Main group,68,+0'00'',+0'00'',22.07 km/h,27.50 km,7%,19,0:27:35,71:03:47,Main group,79,+0'00'',+0'00'',55.97 km/h,56.88 km,-1%,19,0:27:35,71:14:39,Main group,35,+0'19'',+0'19'',56.47 km/h,46.80 km,-,19,0:27:35,71:26:38,Main group,36,+1'37'',+1'37'',44.69 km/h,47.48 km,-,19,0:27:35,71:39:18,Main group,110,+1'04'',+1'04'',38.84 km/h,42.30 km,-,19,0:27:35,71:54:10,Main group,80,+1'37'',+1'37'',45.32 km/h,49.57 km,-1%,19,0:27:35,72:07:18,Main group,98,+1'21'',+1'21'',45.97 km/h,40.07 km,-,19,0:27:35,72:22:25,Main group,79,+0'58'',+0'31'',53.20 km/h,59.62 km,-1%,18,0:27:35,72:37:41,Main group,62,+2'06'',+2'06'',46.39 km/h,48.10 km,-1%,18,0:27:35,72:51:12,Main group,76,+1'29'',+1'29'',33.14 km/h,63.18 km,-9%,18,0:27:35,73:06:16,Main group,62,+1'38'',+1'38'',38.09 km/h,46.98 km,-,18,0:27:35,73:22:09,Main group,44,+1'26'',+1'26'',42.35 km/h,21.46 km,5%,18,0:27:35,73:35:50,Main group,76,+1'15'',+1'15'',42.86 km/h,43.92 km,-,18,0:27:35,73:50:42,Main group,83,+0'50'',+0'50'',38.17 km/h,53.03 km,-,18,0:27:35,74:03:22,Main group,48,+0'40'',+0'40'',50.98 km/h,68.80 km,-5%,18,0:27:35,74:15:19,Main group,82,+0'25'',+0'25'',49.97 km/h,37.04 km,2%,18,0:27:35,74:25:31,Main group,20,+0'00'',+0'00'',44.66 km/h,48.02 km,1%,18,0:27:35,74:32:33,Main group,72,+0'00'',+0'00'',51.10 km/h,67.82 km,-7%,18,0:27:35,74:38:28,Main group,38,+0'00'',+0'00'',55.28 km/h,49.32 km,-1%,18,0:27:35,74:43:07,Main group,53,+0'00'',-,-,-,-,19,0:27:35,74:48:36
M. NIELSEN,126,AST,no,69,72h 29' 04'',1:54:53,03h 46' 50'',Main group,87,+0'00'',+0'00'',0 km/h,0 km/h,0%,69,1:54:53,72:29:04,Main group,71,+0'00'',+0'00'',22.40 km/h,23.72 km,7%,69,1:54:53,72:31:05,Main group,122,+0'00'',+0'00'',56.12 km/h,58.82 km,-1%,69,1:54:53,72:41:57,Main group,138,+0'19'',+0'19'',55.74 km/h,57.38 km,-,69,1:54:53,72:53:56,Main group,82,+1'37'',+1'37'',44.36 km/h,43.20 km,-,69,1:54:53,73:06:36,Main group,92,+1'04'',+1'04'',39.18 km/h,42.23 km,-,69,1:54:53,73:21:28,Main group,116,+1'37'',+1'37'',45.18 km/h,47.77 km,-,69,1:54:53,73:34:36,Main group,101,+1'21'',+1'21'',46.69 km/h,41.62 km,-,69,1:54:53,73:49:43,Main group,101,+0'58'',+0'31'',53.79 km/h,61.92 km,-1%,68,1:54:53,74:04:59,Main group,63,+2'06'',+2'06'',41.49 km/h,44.39 km,-1%,68,1:54:53,74:18:30,Main group,45,+1'29'',+1'29'',34.32 km/h,65.56 km,-9%,68,1:54:53,74:33:34,Main group,83,+1'38'',+1'38'',37.87 km/h,41.80 km,-,68,1:54:53,74:49:27,Main group,91,+1'26'',+1'26'',42.33 km/h,23.65 km,5%,68,1:54:53,75:03:08,Main group,72,+1'15'',+1'15'',43.02 km/h,45.83 km,-,68,1:54:53,75:18:00,Main group,96,+0'50'',+0'50'',38.06 km/h,51.37 km,-,68,1:54:53,75:30:40,Main group,115,+0'40'',+0'40'',50.55 km/h,66.78 km,-5%,68,1:54:53,75:42:37,Main group,73,+0'25'',+0'25'',50.10 km/h,37.15 km,2%,68,1:54:53,75:52:49,Main group,85,+0'00'',+0'00'',43.72 km/h,48.49 km,2%,68,1:54:53,75:59:51,Main group,45,+0'00'',+0'00'',52.10 km/h,56.92 km,-7%,68,1:54:53,76:05:46,Main group,37,+0'00'',+0'00'',54.86 km/h,49.03 km,-1%,68,1:54:53,76:10:25,Main group,20,+0'00'',-,-,-,-,68,1:54:53,76:15:54
M. VALGREN ANDERSEN,128,AST,no,40,71h 55' 12'',1:21:01,03h 48' 09'',Main group,88,+0'00'',+0'00'',0 km/h,0 km/h,0%,40,1:21:01,71:55:12,Main group,62,+0'00'',+0'00'',21.85 km/h,25.96 km,7%,40,1:21:01,71:57:13,Main group,45,+0'00'',+0'00'',56.01 km/h,55.87 km,-,40,1:21:01,72:08:05,Main group,60,+0'19'',+0'19'',55.80 km/h,45.97 km,-,40,1:21:01,72:20:04,Main group,89,+1'37'',+1'37'',44.08 km/h,47.63 km,-,40,1:21:01,72:32:44,Main group,107,+1'04'',+1'04'',39.05 km/h,42.34 km,-,40,1:21:01,72:47:36,Main group,112,+1'37'',+1'37'',45.34 km/h,49.43 km,-,40,1:21:01,73:00:44,Main group,77,+1'21'',+1'21'',46.93 km/h,40.07 km,-,40,1:21:01,73:15:51,Main group,135,+0'58'',+0'31'',52.21 km/h,71.86 km,-1%,39,1:21:01,73:31:07,Back of the race,144,+2'36'',+0'30'',44.05 km/h,38.77 km,-1%,41,1:21:31,73:45:08,Main group,142,+1'29'',+1'29'',32.66 km/h,45.43 km,-1%,39,1:21:01,73:59:42,Back of the race,144,+2'19'',+0'41'',37.55 km/h,23.00 km,6%,41,1:21:42,74:16:16,Back of the race,144,+2'40'',+0'20'',38.96 km/h,0.36 km,1%,41,1:22:15,74:30:30,Main group,92,+1'15'',+1'15'',42.92 km/h,44.64 km,-,39,1:21:01,74:44:08,Main group,92,+0'50'',+0'50'',38.00 km/h,51.62 km,-,39,1:21:01,74:56:48,Main group,118,+0'40'',+0'40'',50.33 km/h,67.82 km,-5%,39,1:21:01,75:08:45,Main group,28,+0'25'',+0'25'',50.23 km/h,39.60 km,3%,39,1:21:01,75:18:57,Main group,21,+0'00'',+0'00'',44.08 km/h,48.20 km,1%,39,1:21:01,75:25:59,Main group,30,+0'00'',+0'00'',51.78 km/h,62.96 km,-7%,39,1:21:01,75:31:54,Main group,29,+0'00'',+0'00'',55.00 km/h,54.22 km,-1%,39,1:21:01,75:36:33,Stragglers,99,+1'19'',-,-,-,-,41,1:22:20,75:43:21
